id	Spalte	text	Keyword	property	Konzept
00.10	r_s	ton sensible, réflexions morales	ton sensible	tonality	sensibilité
00.100	r_s	ton satirique	ton satirique	tonality	satire
00.102	r_s	sensibilité	sensibilité	tonality	sensibilité
00.114	r_s	ton sentimental	ton sentimental	tonality	ton sentimental
00.117	r_s	ton léger mêlé de sensibilité	sensibilité	tonality	sensibilité
00.117	r_s	ton léger mêlé de sensibilité	ton léger mêlé de sensibilité	tonality	ton léger
00.118	r_s	couleur locale	couleur locale	tonality	couleur locale
00.121	r_s	ton satirique, tendances réalistes	tendances réalistes	tonality	tendances réalistes
00.121	r_s	ton satirique, tendances réalistes	ton satirique	tonality	satire
00.122	r_s	ton léger	ton léger	tonality	ton léger
00.126	r_s	ton sensible	ton sensible	tonality	sensibilité
00.127	r_s	ton léger	ton léger	tonality	ton léger
00.129	r_s	ton léger	ton léger	tonality	ton léger
00.130	r_s	éléments historiques, sensibilité, mélancolie	mélancolie	tonality	mélancolie
00.130	r_s	éléments historiques, sensibilité, mélancolie	sensibilité	tonality	sensibilité
00.131	r_s	sensibilité, éléments du roman noir	sensibilité	tonality	sensibilité
00.137	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	critique	tonality	critique
00.137	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	à la manière des Lettres persanes	tonality	manière imitée (parodie)
00.138	r_s	ton satirique	ton satirique	tonality	satire
00.140	r_s	sensibilité	sensibilité	tonality	sensibilité
00.141	r_s	sensibilité	sensibilité	tonality	sensibilité
00.143	r_s	couleur locale, éléments merveilleux	éléments merveilleux	tonality	conte de fée
00.143	r_s	couleur locale, éléments merveilleux	couleur locale	tonality	couleur locale
00.144	r_s	ton facétieux	ton facétieux	tonality	ton léger
00.145	r_s	genre troubadour	genre troubadour	tonality	style poétique
00.146	r_s	sensibilité et prétentions moralisatrices	sensibilité	tonality	sensibilité
00.149	r_s	mélancolie, mystères, sensibilité	mélancolie	tonality	mélancolie
00.149	r_s	mélancolie, mystères, sensibilité	sensibilité	tonality	sensibilité
00.150	r_s	tableau de mœurs, ton sensible et moralisateur	ton sensible	tonality	sensibilité
00.151	r_s	ton satirique	ton satirique	tonality	satire
00.152	r_s	ton léger	ton léger	tonality	ton léger
00.155	r_s	éléments merveilleux, prose poétique	éléments merveilleux	tonality	conte de fée
00.155	r_s	éléments merveilleux, prose poétique	prose poétique	tonality	style poétique
00.16	r_s	précisions pornographiques	précisions pornographiques	tonality	précisions pornographiques
00.18	r_s	peinture des mœurs, ton sentimental	ton sentimental	tonality	ton sentimental
00.19	r_s	ton satirique	ton satirique	tonality	satire
00.21	r_s	ton satirique	ton satirique	tonality	satire
00.26	r_s	bienfaisance, sensibilité	sensibilité	tonality	sensibilité
00.28	r_s	ton sentimental et moralisateur	ton sentimental	tonality	ton sentimental
00.35	r_s	ton léger	ton léger	tonality	ton léger
00.43	r_s	ton satirique	ton satirique	tonality	satire
00.44	r_s	sensibilité	sensibilité	tonality	sensibilité
00.48	r_s	ton sensible	ton sensible	tonality	sensibilité
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	éléments du roman noir (grotte, couvents)	tonality	manière imitée (parodie)
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	mélancolie	tonality	mélancolie
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	sensibilité	tonality	sensibilité
00.57	r_s	style familier, ton satirique	ton satirique	tonality	satire
00.60	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
00.60	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
00.62	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
00.63	r_s	ton sentimental, réflexions morales	ton sentimental	tonality	ton sentimental
00.64	r_s	précisions pornographiques, ton satirique	précisions pornographiques	tonality	précisions pornographiques
00.64	r_s	précisions pornographiques, ton satirique	ton satirique	tonality	satire
00.65	r_s	ton léger, tendances réalistes	tendances réalistes	tonality	tendances réalistes
00.65	r_s	ton léger, tendances réalistes	ton léger	tonality	ton léger
00.66	r_s	ton satirique, thèmes philosophiques, sensibilité	ton satirique	tonality	satire
00.66	r_s	ton satirique, thèmes philosophiques, sensibilité	sensibilité	tonality	sensibilité
00.7	r_s	sensibilité	sensibilité	tonality	sensibilité
00.70	r_s	sensibilité, roman noir	sensibilité	tonality	sensibilité
00.74	r_s	ton sensible	ton sensible	tonality	sensibilité
00.75	r_s	sensibilité, but moralisateur	sensibilité	tonality	sensibilité
00.82	r_s	sensibilité	sensibilité	tonality	sensibilité
00.90	r_s	vertu, sensibilité, aventures sombres	sensibilité	tonality	sensibilité
00.96	r_s	sensibilité	sensibilité	tonality	sensibilité
00.97	r_s	ton satirique	ton satirique	tonality	satire
51.1	r_s	sensibilité	sensibilité	tonality	sensibilité
51.10	r_s	prose poétique	prose poétique	tonality	style poétique
51.21	r_s	ton léger	ton léger	tonality	ton léger
51.25	r_s	sensibilité	sensibilité	tonality	sensibilité
51.3	r_s	sensibilité	sensibilité	tonality	sensibilité
51.31	r_s	observations sur les mœurs européennes, ton plaisant	ton plaisant	tonality	ton léger
51.32	r_s	dans le style de Prévost	dans le style de Prévost	tonality	manière imitée (parodie)
51.34	r_s	vogue du genre troubadour	vogue du genre troubadour	tonality	manière imitée (parodie)
51.34	r_s	vogue du genre troubadour	genre troubadour	tonality	style poétique
51.36	r_s	autobiographie romancée, avec traits satiriques	traits satiriques	tonality	satire
51.38	r_s	ton satirique	ton satirique	tonality	satire
51.39	r_s	satire de la religion chrétienne, du luxe, etc.	satire	tonality	satire
51.40	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
51.9	r_s	sensibilité	sensibilité	tonality	sensibilité
52.1	r_s	sensibilité	sensibilité	tonality	sensibilité
52.17	r_s	ton satirique	ton satirique	tonality	satire
52.18	r_s	ton satirique	ton satirique	tonality	satire
52.19	r_s	ton léger	ton léger	tonality	ton léger
52.21	r_s	satire des mœurs	satire	tonality	satire
52.26	r_s	sensibilité	sensibilité	tonality	sensibilité
52.28	r_s	ton satirique	ton satirique	tonality	satire
52.29	r_s	ton pseudo-historique et sensible	ton pseudo-historique et sensible	tonality	sensibilité
52.31	r_s	style grandiose	style grandiose	tonality	style élevé
52.32	r_s	conte allégorique; style poétique	allégorique	tonality	allégorie
52.32	r_s	conte allégorique; style poétique	style poétique	tonality	style poétique
52.4	r_s	conte de fée avec des traits satiriques	conte de fée	tonality	conte de fée
52.4	r_s	conte de fée avec des traits satiriques	traits satiriques	tonality	satire
52.40	r_s	ton réaliste	ton réaliste	tonality	tendances réalistes
52.41	r_s	sensibilité	sensibilité	tonality	sensibilité
52.42	r_s	sensibilité	sensibilité	tonality	sensibilité
52.7	r_s	sensibilité	sensibilité	tonality	sensibilité
53.1	r_s	sensibilité	sensibilité	tonality	sensibilité
53.12	r_s	style poétique	style poétique	tonality	style poétique
53.13	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
53.14	r_s	réflexions morales, sensibilité	sensibilité	tonality	sensibilité
53.17	r_s	ton réaliste et humoristique	ton réaliste	tonality	tendances réalistes
53.23	r_s	conte oriental merveilleux	conte oriental merveilleux	tonality	contes
53.27	r_s	sensibilité	sensibilité	tonality	sensibilité
53.28	r_s	sensibilité	sensibilité	tonality	sensibilité
53.31	r_s	sensibilité, intentions moralisatrices	sensibilité	tonality	sensibilité
53.33	r_s	allégorie humoristique, en forme de rêve, sur des questions d’eugénique	allégorie	tonality	allégorie
53.4	r_s	conversations sur l’amour; conte merveilleux	conversations sur l’amour	tonality	non-fiction
53.5	r_s	ton satirique	ton satirique	tonality	satire
53.7	r_s	conte de fées	conte de fée	tonality	conte de fée
53.8	r_s	ton satirique	ton satirique	tonality	satire
54.10	r_s	ton satirique	ton satirique	tonality	satire
54.2	r_s	détails pornographiques	détails pornographiques	tonality	précisions pornographiques
54.20	r_s	ton léger	ton léger	tonality	ton léger
54.26	r_s	critique des mœurs	critique	tonality	critique
54.6	r_s	ton satirique	ton satirique	tonality	satire
55.10	r_s	ton scabreux	ton scabreux	tonality	satire
55.11	r_s	critique des mœurs, ton satirique	critique	tonality	critique
55.11	r_s	critique des mœurs, ton satirique	ton satirique	tonality	satire
55.13	r_s	ton satirique	ton satirique	tonality	satire
55.14	r_s	ton léger	ton léger	tonality	ton léger
55.17	r_s	facétie grossière	facétie	tonality	ton léger
55.18	r_s	conte de fées	conte de fée	tonality	conte de fée
55.19	r_s	thèses féministes	thèses féministes	tonality	critique
55.20	r_s	sensibilité	sensibilité	tonality	sensibilité
55.21	r_s	tendances réalistes	tendances réalistes	tonality	tendances réalistes
55.22	r_s	sensibilité	sensibilité	tonality	sensibilité
55.23	r_s	conte de fées	conte de fée	tonality	conte de fée
55.24	r_s	ton léger	ton léger	tonality	ton léger
55.27	r_s	parodie des récits de voyages, ton pseudo-héroïque	parodie des récits de voyages	tonality	manière imitée (parodie)
55.28	r_s	sensibilité	sensibilité	tonality	sensibilité
55.29	r_s	ton libre	ton libre	tonality	ton léger
55.31	r_s	ton léger	ton léger	tonality	ton léger
55.32	r_s	ton facétieux	ton facétieux	tonality	ton léger
55.34	r_s	style poétique	style poétique	tonality	style poétique
55.35	r_s	mythologie et féerie	mythologie et féerie	tonality	conte de fée
55.38	r_s	éléments satiriques	éléments satiriques	tonality	satire
55.41	r_s	ton léger	ton léger	tonality	ton léger
55.9	r_s	ton léger	ton léger	tonality	ton léger
56.11	r_s	sensibilité	sensibilité	tonality	sensibilité
56.17	r_s	facétie grossière	facétie	tonality	ton léger
56.2	r_s	critique des couvents	critique	tonality	critique
56.28	r_s	prétentions moralisatrices, tendances réalistes	tendances réalistes	tonality	tendances réalistes
56.3	r_s	ton anti-religieux	ton anti-religieux	tonality	critique
56.7	r_s	ton ordurier, style poissard	ton ordurier	tonality	précisions pornographiques
56.8	r_s	sensibilité	sensibilité	tonality	sensibilité
57.10	r_s	satire du parti des Philosophes	satire	tonality	satire
57.14	r_s	intentions moralisatrices, sensibilité, mélancolie	mélancolie	tonality	mélancolie
57.14	r_s	intentions moralisatrices, sensibilité, mélancolie	sensibilité	tonality	sensibilité
57.15	r_s	intentions moralisatrices, sensibilité, mélancolie	mélancolie	tonality	mélancolie
57.15	r_s	intentions moralisatrices, sensibilité, mélancolie	sensibilité	tonality	sensibilité
57.2	r_s	sensibilité	sensibilité	tonality	sensibilité
57.3	r_s	ton libre, fin moralisatrice	ton libre	tonality	ton léger
57.7	r_s	ton satirique	ton satirique	tonality	satire
58.1	r_s	ton satirique, réflexions philosophiques	ton satirique	tonality	satire
58.15	r_s	réflexions philosophiques, sensibilité	sensibilité	tonality	sensibilité
58.21	r_s	épopée burlesque	épopée burlesque	tonality	style poétique
58.4	r_s	sensibilité	sensibilité	tonality	sensibilité
58.7	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
59.17	r_s	Les voiages de la Raison, fable allégorique	allégorique	tonality	allégorie
59.4	r_s	ton réaliste	ton réaliste	tonality	tendances réalistes
59.9	r_s	ton satirique	ton satirique	tonality	satire
60.1	r_s	ton satirique	ton satirique	tonality	satire
60.10	r_s	sensibilité	sensibilité	tonality	sensibilité
60.14	r_s	ton satirique	ton satirique	tonality	satire
60.15	r_s	style grandiose, pseudo-épopée	style grandiose	tonality	style élevé
60.16	r_s	ton épique, prose poétique	prose poétique	tonality	style poétique
60.2	r_s	correspondance sentimentale	correspondance sentimentale	tonality	ton sentimental
60.20	r_s	sensibilité, mélancolie, réflexions	mélancolie	tonality	mélancolie
60.20	r_s	sensibilité, mélancolie, réflexions	sensibilité	tonality	sensibilité
60.24	r_s	ton satirique	ton satirique	tonality	satire
60.27	r_s	satire de Palissot et de ses protecteurs	satire	tonality	satire
60.28	r_s	sensibilité, mélancolie.	mélancolie	tonality	mélancolie
60.28	r_s	sensibilité, mélancolie.	sensibilité	tonality	sensibilité
60.33	r_s	ton plaisant	ton plaisant	tonality	ton léger
61.18	r_s	sensibilité	sensibilité	tonality	sensibilité
61.20	r_s	ton ironique	ton ironique	tonality	satire
61.22	r_s	ton satirique	ton satirique	tonality	satire
61.25	r_s	Utopie et tendances satiriques	Utopie et tendances satiriques	tonality	satire
61.3	r_s	ton satirique	ton satirique	tonality	satire
61.7	r_s	tendances réalistes	tendances réalistes	tonality	tendances réalistes
61.9	r_s	sensibilité, fatalité	sensibilité	tonality	sensibilité
62.14	r_s	sensibilité	sensibilité	tonality	sensibilité
62.16	r_s	but moralisateur, tendances réalistes	tendances réalistes	tonality	tendances réalistes
62.32	r_s	ton sensible	ton sensible	tonality	sensibilité
62.34	r_s	sensibilité, but moralisateur	sensibilité	tonality	sensibilité
62.36	r_s	satire des disputes entre Jésuites et Capucins	satire	tonality	satire
62.37	r_s	critique des mœurs	critique	tonality	critique
62.6	r_s	ton licencieux	ton licencieux	tonality	ton léger
62.7	r_s	critique des mœurs à la manière du Diable boiteux	critique	tonality	critique
63.10	r_s	ton satirique	ton satirique	tonality	satire
63.14	r_s	ton libre	ton libre	tonality	ton léger
63.2	r_s	ton léger	ton léger	tonality	ton léger
63.23	r_s	sensibilité	sensibilité	tonality	sensibilité
63.24	r_s	sensibilité	sensibilité	tonality	sensibilité
63.30	r_s	critique des mœurs, ton comique	critique	tonality	critique
63.32	r_s	ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne)	ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne)	tonality	satire
63.32	r_s	ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne)	parodie	tonality	manière imitée (parodie)
63.41	r_s	sensibilité, mélancolie, analyse de l’amour	mélancolie	tonality	mélancolie
63.41	r_s	sensibilité, mélancolie, analyse de l’amour	sensibilité	tonality	sensibilité
63.42	r_s	remarques sur les mœurs, les institutions, thèmes philosophiques, ton satirique	ton satirique	tonality	satire
63.5	r_s	satire contre les Jésuites	satire contre les Jésuites	tonality	satire
63.7	r_s	sensibilité effrénée (parodie de la Nouvelle Héloïse)	sensibilité effrénée (parodie de la Nouvelle Héloïse)	tonality	sensibilité
63.7	r_s	sensibilité effrénée (parodie de la Nouvelle Héloïse)	parodie	tonality	manière imitée (parodie)
63.8	r_s	but moralisateur, sensibilité	sensibilité	tonality	sensibilité
64.1	r_s	sensibilité	sensibilité	tonality	sensibilité
64.14	r_s	sensibilité effrénée, ton sombre	sensibilité	tonality	sensibilité
64.18	r_s	sensibilité	sensibilité	tonality	sensibilité
64.27	r_s	à la manière des Lettres persanes	à la manière des Lettres persanes	tonality	manière imitée (parodie)
64.3	r_s	ton moralisateur, sensibilité	sensibilité	tonality	sensibilité
64.31	r_s	sensibilité, but didactique	sensibilité	tonality	sensibilité
64.37	r_s	satire du style enflé de l’épopée	satire	tonality	satire
64.40	r_s	sensibilité effrénée	sensibilité	tonality	sensibilité
64.41	r_s	ton léger	ton léger	tonality	ton léger
64.43	r_s	prose poétique	prose poétique	tonality	style poétique
64.44	r_s	ton satirique	ton satirique	tonality	satire
64.46	r_s	satire des petits-maîtres	satire	tonality	satire
64.6	r_s	sensibilité	sensibilité	tonality	sensibilité
65.11	r_s	critique des mœurs, ton satirique	critique	tonality	critique
65.11	r_s	critique des mœurs, ton satirique	ton satirique	tonality	satire
65.15	r_s	style ancien	style ancien	tonality	vieux langage
65.19	r_s	mélancolie, sensibilité (à la manière de Prévost)	à la manière de Prévost	tonality	manière imitée (parodie)
65.19	r_s	mélancolie, sensibilité (à la manière de Prévost)	mélancolie	tonality	mélancolie
65.19	r_s	mélancolie, sensibilité (à la manière de Prévost)	sensibilité	tonality	sensibilité
65.2	r_s	sensibilité	sensibilité	tonality	sensibilité
65.20	r_s	tendances réalistes, sensibilité	tendances réalistes	tonality	tendances réalistes
65.20	r_s	tendances réalistes, sensibilité	sensibilité	tonality	sensibilité
65.22	r_s	sensibilité	sensibilité	tonality	sensibilité
65.24	r_s	ton satirique	ton satirique	tonality	satire
65.25	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
65.26	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
65.28	r_s	sensibilité	sensibilité	tonality	sensibilité
65.29	r_s	critique des mœurs, réflexions	critique	tonality	critique
65.31	r_s	extrême sensibilité	sensibilité	tonality	sensibilité
65.33	r_s	ton léger	ton léger	tonality	ton léger
65.38	r_s	ton satirique	ton satirique	tonality	satire
65.42	r_s	sensibilité, malheurs, intentions moralisatrices (à la manière de Prévost)	à la manière de Prévost	tonality	manière imitée (parodie)
65.42	r_s	sensibilité, malheurs, intentions moralisatrices (à la manière de Prévost)	sensibilité	tonality	sensibilité
65.44	r_s	sensibilité	sensibilité	tonality	sensibilité
65.7	r_s	ton satirique	ton satirique	tonality	satire
65.8	r_s	sensibilité	sensibilité	tonality	sensibilité
66.1	r_s	prose poétique	prose poétique	tonality	style poétique
66.12	r_s	"langue ancienne (""manuscrit du XIVe siècle"")"	"langue ancienne (""manuscrit du XIVe siècle"")"	tonality	vieux langage
66.15	r_s	mélancolie, sensibilité (à la manière de Prévost)	à la manière de Prévost	tonality	manière imitée (parodie)
66.15	r_s	mélancolie, sensibilité (à la manière de Prévost)	mélancolie	tonality	mélancolie
66.15	r_s	mélancolie, sensibilité (à la manière de Prévost)	sensibilité	tonality	sensibilité
66.16	r_s	sensibilité passionnée	sensibilité	tonality	sensibilité
66.18	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
66.18	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
66.21	r_s	ton satirique, thèmes philosophiques	ton satirique	tonality	satire
66.24	r_s	ton satirique	ton satirique	tonality	satire
66.27	r_s	sensibilité, malheurs	sensibilité	tonality	sensibilité
66.28	r_s	sensibilité	sensibilité	tonality	sensibilité
66.30	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
66.35	r_s	thèmes philosophiques, sensibilité, mélancolie	mélancolie	tonality	mélancolie
66.35	r_s	thèmes philosophiques, sensibilité, mélancolie	sensibilité	tonality	sensibilité
66.37	r_s	ton satirique	ton satirique	tonality	satire
66.38	r_s	sensibilité	sensibilité	tonality	sensibilité
66.42	r_s	sensibilité, malheurs, vertu	sensibilité	tonality	sensibilité
66.43	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
66.44	r_s	mélancolie, sensibilité	mélancolie	tonality	mélancolie
66.44	r_s	mélancolie, sensibilité	sensibilité	tonality	sensibilité
66.5	r_s	sensibilité, malheurs	sensibilité	tonality	sensibilité
66.6bis	r_s	ton léger	ton léger	tonality	ton léger
66.8	r_s	allégorie de la vie politique (selon l’auteur)	allégorie	tonality	allégorie
66.9	r_s	sensibilité effrénée, vertu, bienfaisance	sensibilité	tonality	sensibilité
67.11	r_s	tendances réalistes au début	tendances réalistes	tonality	tendances réalistes
67.12	r_s	ton satirique	ton satirique	tonality	satire
67.14	r_s	sensibilité effrénée	sensibilité	tonality	sensibilité
67.15	r_s	sensibilité effrénée	sensibilité	tonality	sensibilité
67.16	r_s	sensibilité effrénée	sensibilité	tonality	sensibilité
67.17	r_s	sensibilité effrénée, mélancolie, horreur	mélancolie	tonality	mélancolie
67.17	r_s	sensibilité effrénée, mélancolie, horreur	sensibilité	tonality	sensibilité
67.18	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
67.18	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
67.21	r_s	sujet biblique; prose poétique	prose poétique	tonality	style poétique
67.22	r_s	éléments surnaturels (magie Blanche)	éléments surnaturels (magie Blanche)	tonality	conte de fée
67.24	r_s	sensibilité, bienfaisance, vertu	sensibilité	tonality	sensibilité
67.26	r_s	A la manière des Lettres persanes	A la manière des Lettres persanes	tonality	manière imitée (parodie)
67.29	r_s	critique de l’église et des dogmes catholiques	critique	tonality	critique
67.3	r_s	ton satirique	ton satirique	tonality	satire
67.30	r_s	quelques tendances réalistes, réflexions sur l’amour et la vertu	tendances réalistes	tonality	tendances réalistes
67.31	r_s	sensibilité passionnée et mélancolique	mélancolique	tonality	mélancolie
67.31	r_s	sensibilité passionnée et mélancolique	sensibilité	tonality	sensibilité
67.34	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
67.35	r_s	ton satirique, ouvrage à clef	ton satirique	tonality	satire
67.38	r_s	ton satirique	ton satirique	tonality	satire
67.4	r_s	sensibilité effrénée, vertu	sensibilité	tonality	sensibilité
67.41	r_s	intentions moralisatrices, vertu, sensibilité	sensibilité	tonality	sensibilité
67.42	r_s	sensibilité, contre le fanatisme	sensibilité	tonality	sensibilité
67.43	r_s	sensibilité	sensibilité	tonality	sensibilité
67.47	r_s	ton satirique	ton satirique	tonality	satire
67.48	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
67.5	r_s	tendances réalistes, ton comique	tendances réalistes	tonality	tendances réalistes
67.50	r_s	intentions moralisatrices, ton comique, peinture des mœurs, quelques tendances réalistes	tendances réalistes	tonality	tendances réalistes
67.52	r_s	ton satirique, sensibilité à la fin	ton satirique	tonality	satire
67.52	r_s	ton satirique, sensibilité à la fin	sensibilité	tonality	sensibilité
67.8	r_s	tendances réalistes	tendances réalistes	tonality	tendances réalistes
68.12	r_s	sensibilité	sensibilité	tonality	sensibilité
68.19	r_s	sensibilité, vertu, bienfaisance, tendances réalistes (vie économique)	tendances réalistes	tonality	tendances réalistes
68.19	r_s	sensibilité, vertu, bienfaisance, tendances réalistes (vie économique)	sensibilité	tonality	sensibilité
68.21	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
68.21	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
68.22	r_s	ton satirique	ton satirique	tonality	satire
68.23	r_s	satire des institutions économiques	satire	tonality	satire
68.25	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	mélancolie	tonality	mélancolie
68.25	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	sensibilité	tonality	sensibilité
68.26	r_s	ton satirique	ton satirique	tonality	satire
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	à la manière de Prévost	tonality	manière imitée (parodie)
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	mélancolie	tonality	mélancolie
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	sensibilité	tonality	sensibilité
68.34	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
68.34	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
68.36	r_s	sensibilité	sensibilité	tonality	sensibilité
68.37	r_s	sensibilité effrénée, mélancolie (’J’ai déjà trop vécu ’)	mélancolie	tonality	mélancolie
68.37	r_s	sensibilité effrénée, mélancolie (’J’ai déjà trop vécu ’)	sensibilité	tonality	sensibilité
68.38	r_s	ton satirique	ton satirique	tonality	satire
68.41	r_s	ton satirique	ton satirique	tonality	satire
68.43	r_s	ton facétieux	ton facétieux	tonality	ton léger
68.44	r_s	sensibilité larmoyante	sensibilité	tonality	sensibilité
68.5	r_s	mélancolie, sensibilité	mélancolie	tonality	mélancolie
68.5	r_s	mélancolie, sensibilité	sensibilité	tonality	sensibilité
68.53	r_s	ton satirique, intentions moralisatrices	ton satirique	tonality	satire
68.56	r_s	critique des mœurs, thèmes philosophiques	critique	tonality	critique
68.5bis	r_s	ton sentimental et moralisateur	ton sentimental	tonality	ton sentimental
68.7	r_s	sensibilité	sensibilité	tonality	sensibilité
68.8	r_s	sensibilité, vertu, intentions moralisatrices, peinture des mœurs	sensibilité	tonality	sensibilité
68.9	r_s	sensibilité	sensibilité	tonality	sensibilité
69.11	r_s	tendances réalistes	tendances réalistes	tonality	tendances réalistes
69.12	r_s	intentions moralisatrices, sensibilité effrénée, mélancolie	mélancolie	tonality	mélancolie
69.12	r_s	intentions moralisatrices, sensibilité effrénée, mélancolie	sensibilité	tonality	sensibilité
69.13	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
69.14	r_s	ton satirique	ton satirique	tonality	satire
69.2	r_s	bienfaisance, vertu, sensibilité	sensibilité	tonality	sensibilité
69.20	r_s	sensibilité	sensibilité	tonality	sensibilité
69.23	r_s	ton noble, couleur locale	couleur locale	tonality	couleur locale
69.23	r_s	ton noble, couleur locale	ton noble	tonality	style élevé
69.25	r_s	ton satirique	ton satirique	tonality	satire
69.27	r_s	ton léger	ton léger	tonality	ton léger
69.29	r_s	sensibilité passionnée	sensibilité	tonality	sensibilité
69.30	r_s	ton sensible, intentions moralisatrices	ton sensible	tonality	sensibilité
69.31	r_s	ton frivole	ton frivole	tonality	ton léger
69.35	r_s	sensibilité	sensibilité	tonality	sensibilité
69.40	r_s	peinture des mœurs et observations morales, ton satirique	ton satirique	tonality	satire
69.41	r_s	vertu, sensibilité	sensibilité	tonality	sensibilité
69.44	r_s	sensibilité	sensibilité	tonality	sensibilité
69.47	r_s	ton léger	ton léger	tonality	ton léger
69.49	r_s	ton facétieux	ton facétieux	tonality	ton léger
69.5	r_s	sensibilité	sensibilité	tonality	sensibilité
69.50	r_s	vertu, sensibilité, prétentions moralisatrices	sensibilité	tonality	sensibilité
69.51	r_s	sensibilité	sensibilité	tonality	sensibilité
69.52	r_s	ton satirique	ton satirique	tonality	satire
69.56	r_s	sensibilité, vertu, prétentions moralisatrices	sensibilité	tonality	sensibilité
69.60	r_s	prétentions moralisatrices, sensibilité effrénée	sensibilité	tonality	sensibilité
69.63	r_s	ton satirique	ton satirique	tonality	satire
69.64	r_s	ton satirique, fantaisiste	ton satirique	tonality	satire
69.64bis	r_s	sensibilité effrénée	sensibilité	tonality	sensibilité
69.65	r_s	sensibilité effrénée, analyse des sentiments	sensibilité	tonality	sensibilité
69.69	r_s	critique de l’Eglise, thèmes philosophiques	critique	tonality	critique
69.70	r_s	ton satirique	ton satirique	tonality	satire
69.72	r_s	sensibilité, tendances réalistes	tendances réalistes	tonality	tendances réalistes
